Accession (version),Accession,Old Family,Family
NC_010314.1,NC_010314,Nanoviridae,Nanoviridae
NC_010315.1,NC_010315,Nanoviridae,Nanoviridae
NC_010316.1,NC_010316,Nanoviridae,Nanoviridae
NC_010317.1,NC_010317,Nanoviridae,Nanoviridae
NC_010318.1,NC_010318,Nanoviridae,Nanoviridae
NC_010319.1,NC_010319,Nanoviridae,Nanoviridae
NC_018874.1,NC_018874,Malacoherpesviridae,Herpesviridae
NC_001499.1,NC_001499,Retroviridae,Retroviridae
NC_014138.1,NC_014138,Geminiviridae,Geminiviridae
NC_014139.1,NC_014139,Geminiviridae,Geminiviridae
NC_015045.1,NC_015045,Geminiviridae,Geminiviridae
NC_015048.1,NC_015048,Geminiviridae,Geminiviridae
NC_016574.1,NC_016574,Geminiviridae,Geminiviridae
NC_016577.1,NC_016577,Geminiviridae,Geminiviridae
NC_001928.2,NC_001928,Geminiviridae,Geminiviridae
NC_001929.2,NC_001929,Geminiviridae,Geminiviridae
NC_014649.1,NC_014649,Mimiviridae,Mimiviridae
NC_008724.1,NC_008724,Phycodnaviridae,Phycodnaviridae
NC_020099.1,NC_020099,Circoviridae,Circoviridae
NC_026767.1,NC_026767,Polyomaviridae,Polyomaviridae
NC_026762.1,NC_026762,Polyomaviridae,Polyomaviridae
NC_025403.1,NC_025403,Paramyxoviridae,Paramyxoviridae
NC_025404.1,NC_025404,Paramyxoviridae,Paramyxoviridae
NC_001341.1,NC_001341,Plectroviridae,Inoviridae
NC_023556.1,NC_023556,Schitoviridae,Podoviridae
NC_029075.1,NC_029075,Unclassified,Siphoviridae
NC_029033.1,NC_029033,Unclassified,Siphoviridae
NC_029106.1,NC_029106,Casjensviridae,Siphoviridae
NC_028834.1,NC_028834,Unclassified,Siphoviridae
NC_028768.1,NC_028768,Unclassified,Siphoviridae
NC_028938.1,NC_028938,Ampullaviridae,Ampullaviridae
NC_028787.1,NC_028787,Ampullaviridae,Ampullaviridae
NC_009452.1,NC_009452,Ampullaviridae,Ampullaviridae
NC_005830.1,NC_005830,Ungulaviridae,Lipothrixviridae
NC_009884.1,NC_009884,Lipothrixviridae,Lipothrixviridae
NC_010155.1,NC_010155,Lipothrixviridae,Lipothrixviridae
NC_010152.1,NC_010152,Lipothrixviridae,Lipothrixviridae
NC_010153.1,NC_010153,Lipothrixviridae,Lipothrixviridae
NC_010154.1,NC_010154,Lipothrixviridae,Lipothrixviridae
NC_010537.1,NC_010537,Lipothrixviridae,Lipothrixviridae
NC_009965.1,NC_009965,Rudiviridae,Rudiviridae
NC_029314.1,NC_029314,Rudiviridae,Rudiviridae
NC_013585.1,NC_013585,Fuselloviridae,Fuselloviridae
NC_029316.1,NC_029316,Bicaudaviridae,Bicaudaviridae
NC_007409.1,NC_007409,Bicaudaviridae,Bicaudaviridae
NC_014660.1,NC_014660,Straboviridae,Myoviridae
NC_014661.1,NC_014661,Straboviridae,Myoviridae
NC_014663.1,NC_014663,Straboviridae,Myoviridae
NC_002700.2,NC_002700,Duinviridae,Leviviridae
NC_019541.1,NC_019541,Unclassified,Podoviridae
NC_023590.1,NC_023590,Unclassified,Siphoviridae
NC_031117.1,NC_031117,Unclassified,Myoviridae
NC_023570.1,NC_023570,Autographiviridae,Podoviridae
NC_031086.1,NC_031086,Autographiviridae,Podoviridae
NC_028995.1,NC_028995,Unclassified,Myoviridae
NC_023581.1,NC_023581,Schitoviridae,Podoviridae
NC_025462.1,NC_025462,Unclassified,Myoviridae
NC_031280.1,NC_031280,Unclassified,Myoviridae
NC_025457.1,NC_025457,Autographiviridae,Podoviridae
NC_031098.1,NC_031098,Unclassified,Siphoviridae
NC_028855.1,NC_028855,Unclassified,Myoviridae
NC_027332.1,NC_027332,Unclassified,Myoviridae
NC_018087.3,NC_018087,Straboviridae,Myoviridae
NC_015250.1,NC_015250,Straboviridae,Myoviridae
NC_021337.1,NC_021337,Autographiviridae,Podoviridae
NC_024785.1,NC_024785,Unclassified,Myoviridae
NC_021316.1,NC_021316,Autographiviridae,Podoviridae
NC_017984.1,NC_017984,Unclassified,Myoviridae
NC_028848.1,NC_028848,Autographiviridae,Podoviridae
NC_028987.2,NC_028987,Autographiviridae,Podoviridae
NC_028684.1,NC_028684,Autographiviridae,Podoviridae
NC_028679.1,NC_028679,Autographiviridae,Podoviridae
NC_028675.1,NC_028675,Autographiviridae,Podoviridae
NC_002795.1,NC_002795,Betaflexiviridae,Betaflexiviridae
NC_035453.1,NC_035453,Closteroviridae,Closteroviridae
NC_016404.1,NC_016404,Betaflexiviridae,Betaflexiviridae
NC_028649.1,NC_028649,Alphaflexiviridae,Alphaflexiviridae
NC_009643.1,NC_009643,Unclassified,Podoviridae
NC_005885.1,NC_005885,Unclassified,Siphoviridae
NC_002548.1,NC_002548,Dicistroviridae,Dicistroviridae
NC_028246.1,NC_028246,Rhabdoviridae,Rhabdoviridae
NC_001829.1,NC_001829,Parvoviridae,Parvoviridae
NC_001401.2,NC_001401,Parvoviridae,Parvoviridae
NC_001729.1,NC_001729,Parvoviridae,Parvoviridae
NC_006260.1,NC_006260,Parvoviridae,Parvoviridae
NC_006261.1,NC_006261,Parvoviridae,Parvoviridae
NC_002077.1,NC_002077,Parvoviridae,Parvoviridae
NC_005889.1,NC_005889,Parvoviridae,Parvoviridae
NC_006152.1,NC_006152,Parvoviridae,Parvoviridae
NC_021247.1,NC_021247,Poxviridae,Poxviridae
NC_004690.1,NC_004690,Baculoviridae,Baculoviridae
NC_005038.1,NC_005038,Baculoviridae,Baculoviridae
NC_011423.1,NC_011423,Baculoviridae,Baculoviridae
NC_012932.1,NC_012932,Flaviviridae,Flaviviridae
NC_007666.1,NC_007666,Spinareoviridae,Reoviridae
NC_007667.1,NC_007667,Spinareoviridae,Reoviridae
