Accession (version),Accession,Old Family,Family,Baltimore
NC_001798.2,NC_001798,Orthoherpesviridae,Herpesviridae,I
NC_030692.1,NC_030692,Bornaviridae,Bornaviridae,V
NC_027892.1,NC_027892,Bornaviridae,Bornaviridae,V
NC_029642.1,NC_029642,Bornaviridae,Bornaviridae,V
NC_001607.1,NC_001607,Bornaviridae,Bornaviridae,V
NC_029549.1,NC_029549,Fimoviridae,Fimoviridae,V
NC_029550.1,NC_029550,Fimoviridae,Fimoviridae,V
NC_029551.1,NC_029551,Fimoviridae,Fimoviridae,V
NC_029552.1,NC_029552,Fimoviridae,Fimoviridae,V
NC_029553.1,NC_029553,Fimoviridae,Fimoviridae,V
NC_029570.1,NC_029570,Fimoviridae,Fimoviridae,V
NC_029554.1,NC_029554,Fimoviridae,Fimoviridae,V
NC_029555.1,NC_029555,Fimoviridae,Fimoviridae,V
NC_029558.1,NC_029558,Fimoviridae,Fimoviridae,V
NC_029559.1,NC_029559,Fimoviridae,Fimoviridae,V
NC_029560.1,NC_029560,Fimoviridae,Fimoviridae,V
NC_029561.1,NC_029561,Fimoviridae,Fimoviridae,V
NC_029571.1,NC_029571,Fimoviridae,Fimoviridae,V
NC_029572.1,NC_029572,Fimoviridae,Fimoviridae,V
NC_029573.1,NC_029573,Fimoviridae,Fimoviridae,V
NC_029567.1,NC_029567,Fimoviridae,Fimoviridae,V
NC_029562.1,NC_029562,Fimoviridae,Fimoviridae,V
NC_029568.1,NC_029568,Fimoviridae,Fimoviridae,V
NC_029563.1,NC_029563,Fimoviridae,Fimoviridae,V
NC_029564.1,NC_029564,Fimoviridae,Fimoviridae,V
NC_029565.1,NC_029565,Fimoviridae,Fimoviridae,V
NC_029566.1,NC_029566,Fimoviridae,Fimoviridae,V
NC_029556.1,NC_029556,Fimoviridae,Fimoviridae,V
NC_029557.1,NC_029557,Fimoviridae,Fimoviridae,V
NC_029569.1,NC_029569,Fimoviridae,Fimoviridae,V
NC_029574.1,NC_029574,Fimoviridae,Fimoviridae,V
NC_029575.1,NC_029575,Fimoviridae,Fimoviridae,V
NC_029578.1,NC_029578,Solemoviridae,Solemoviridae,IV
NC_030691.1,NC_030691,Bornaviridae,Bornaviridae,V
NC_017862.1,NC_017862,Papillomaviridae,Papillomaviridae,I
NC_017936.1,NC_017936,Caliciviridae,Caliciviridae,IV
NC_017937.1,NC_017937,Paramyxoviridae,Paramyxoviridae,V
NC_017938.1,NC_017938,Secoviridae,Secoviridae,IV
NC_017939.1,NC_017939,Secoviridae,Secoviridae,IV
NC_029648.1,NC_029648,Geminiviridae,Geminiviridae,II
NC_017977.1,NC_017977,Potyviridae,Potyviridae,IV
NC_017967.1,NC_017967,Potyviridae,Potyviridae,IV
NC_017970.1,NC_017970,Potyviridae,Potyviridae,IV
NC_017988.1,NC_017988,Partitiviridae,Partitiviridae,III
NC_017989.1,NC_017989,Partitiviridae,Partitiviridae,III
NC_017987.1,NC_017987,Geminiviridae,Geminiviridae,II
NC_017993.1,NC_017993,Papillomaviridae,Papillomaviridae,I
NC_017994.1,NC_017994,Papillomaviridae,Papillomaviridae,I
NC_017916.1,NC_017916,Smacoviridae,Smacoviridae,II
NC_017917.1,NC_017917,Geminiviridae,Geminiviridae,II
